playerName,teamName,mapsPlayed,winrate,hltvImpact,KAST,openingKills,OKratio,rifleKills,sniperKills,smgKills,pistolKills,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.1
1eeR,Nemiga Jun 2024 - ,157,0.59,0.98,72.4,535,0.97,2653,19,313,521,3582,44.9,3879,0.92,72.4,7.4,260,5762,0.62,0.24,0.67,0.13,0.10,1.01
910,The MongolZ Dec 2023 - ,204,0.65,1.05,72.6,483,1.31,951,1532,46,576,3138,35.2,2701,1.16,70.9,3.1,204,4472,0.70,0.13,0.60,0.09,0.10,1.09
Aleksib,Natus Vincere Dec 2023 - ,172,0.63,0.76,72.3,281,0.75,1301,19,264,298,1949,42.5,2366,0.82,61.9,6.7,172,3705,0.53,0.21,0.64,0.11,0.08,0.90
BELCHONOKK,Aurora Aug 2024 - ,60,0.4,1.11,73.1,452,1.02,2475,28,83,548,3164,47.4,2913,1.09,80.0,3.8,203,4370,0.72,0.20,0.67,0.11,0.11,1.11
Blytz,ECLOT Jan 2024 - ,275,0.58,1.19,74.0,797,1.09,3545,32,385,723,4725,53.8,4296,1.10,80.5,4.0,296,6397,0.74,0.21,0.67,0.12,0.13,1.13
Brehze,NRG Nov 2024 - ,7,0.71,1.10,74.9,449,1.09,2571,8,204,645,3457,58.8,3047,1.13,77.7,3.8,228,4699,0.74,0.18,0.65,0.11,0.13,1.13
Brollan,MOUZ Dec 2023 - ,150,0.61,1.12,72.8,387,0.95,1710,6,115,345,2202,54.0,2154,1.02,76.5,4.9,150,3266,0.67,0.20,0.66,0.10,0.10,1.09
Buzz,OG Oct 2024 - Nov 2024,38,0.45,1.04,71.8,240,1.03,1261,6,86,260,1622,53.0,1606,1.01,76.3,2.6,106,2359,0.69,0.18,0.68,0.11,0.13,1.05
Bwills,Nouns May 2024 - Nov 2024,146,0.62,0.95,73.5,33,1.27,208,0,21,55,289,50.2,289,1.00,69.1,6.3,21,434,0.67,0.18,0.67,0.09,0.11,1.00
Chr1zN,OG Oct 2024 - Nov 2024,38,0.45,1.10,70.9,832,0.84,3110,70,702,743,4707,58.0,4976,0.95,74.5,5.6,325,7090,0.66,0.21,0.70,0.12,0.09,1.03
DemQQ,Monte Aug 2024 - ,90,0.57,1.11,74.8,568,1.11,3051,34,192,623,3958,58.4,3519,1.12,78.2,5.9,252,5513,0.72,0.20,0.64,0.10,0.12,1.12
Dytor,ECLOT Jan 2024 - ,275,0.58,0.98,73.1,501,0.94,3284,17,357,813,4542,47.9,4381,1.04,74.4,3.7,312,6719,0.68,0.20,0.65,0.12,0.12,1.05
F1KU,OG Oct 2024 - Nov 2024,38,0.45,0.93,71.0,280,0.92,1660,7,111,434,2228,60.2,2362,0.94,71.7,4.3,160,3478,0.64,0.19,0.68,0.11,0.12,0.99
FL4MUS,Nemiga Jun 2024 - ,157,0.59,1.23,71.7,675,1.05,2770,10,202,562,3574,63.3,3463,1.03,80.8,4.6,216,4868,0.73,0.21,0.71,0.10,0.10,1.11
FaNg,NRG Nov 2024 - ,7,0.71,1.19,73.2,536,1.09,2540,30,189,531,3324,59.1,3003,1.11,80.4,4.9,203,4400,0.76,0.19,0.68,0.10,0.12,1.12
Gizmy,Monte Aug 2024 - ,90,0.57,1.02,72.0,399,1.01,1553,9,223,330,2159,52.2,2336,0.92,73.5,5.1,150,3367,0.64,0.21,0.69,0.13,0.09,1.01
Grizz,Wildcard Jul 2024 - ,80,0.7,1.16,70.1,165,0.99,779,13,47,189,1049,56.4,1030,1.02,78.5,4.8,64,1436,0.73,0.19,0.72,0.13,0.13,1.08
HEN1,Imperial Jul 2024 - ,99,0.58,1.01,75.2,548,1.75,1304,1630,110,628,3728,33.4,2987,1.25,72.7,4.4,263,5534,0.67,0.16,0.54,0.07,0.09,1.11
HeavyGod,OG Oct 2024 - Nov 2024,38,0.45,1.15,74.0,370,1.23,1860,26,144,489,2536,57.3,2236,1.13,80.7,3.3,160,3424,0.74,0.19,0.65,0.10,0.13,1.14
HexT,NRG Nov 2024 - ,7,0.71,1.22,76.3,533,1.15,2698,20,188,604,3547,54.3,2982,1.19,81.8,4.8,228,4699,0.75,0.20,0.63,0.13,0.13,1.20
HooXi,G2 Jul 2024 - ,77,0.66,0.84,69.6,226,0.68,757,15,160,193,1154,55.5,1535,0.75,60.9,4.7,99,2178,0.53,0.18,0.70,0.12,0.07,0.86
Infinite,Wildcard Jul 2024 - ,80,0.7,1.04,71.7,350,0.88,1817,50,246,405,2557,52.4,2498,1.02,76.2,4.7,171,3697,0.69,0.18,0.68,0.10,0.10,1.05
JBa,Wildcard Jul 2024 - ,80,0.7,1.05,75.6,353,1.08,2272,6,332,571,3207,56.0,2814,1.14,76.9,4.7,207,4408,0.73,0.18,0.64,0.12,0.15,1.12
Jeorge,NRG Nov 2024 - ,7,0.71,1.19,76.3,565,1.09,2549,24,341,602,3576,51.8,3194,1.12,81.9,6.1,230,4866,0.73,0.23,0.66,0.12,0.12,1.17
Jimpphat,MOUZ Dec 2023 - ,150,0.61,1.01,76.5,241,1.05,1866,7,116,390,2401,52.8,2046,1.17,76.0,4.1,156,3412,0.70,0.20,0.60,0.09,0.12,1.11
KENSI,Aurora Aug 2024 - ,60,0.4,1.13,72.7,682,1.10,3182,26,136,712,4103,50.5,3967,1.03,78.7,5.6,276,5906,0.69,0.23,0.67,0.10,0.10,1.08
KEi,Monte Aug 2024 - ,90,0.57,1.12,71.0,297,0.96,1593,7,115,307,2032,49.0,1932,1.05,78.4,4.3,132,2855,0.71,0.21,0.68,0.10,0.11,1.08
Krabeni,,132,0.65,1.17,71.6,498,1.04,2211,38,219,447,2947,58.5,2828,1.04,80.4,5.8,192,4088,0.72,0.21,0.69,0.10,0.10,1.10
Lack1,Aurora Aug 2024 - ,60,0.4,1.05,69.7,670,0.90,2725,61,304,642,3800,49.1,4128,0.92,72.7,4.5,273,5837,0.65,0.20,0.71,0.11,0.09,1.00
Lake,M80 Jul 2024 - ,78,0.62,1.31,72.4,484,0.99,1931,24,154,382,2519,51.4,2411,1.04,83.8,4.8,156,3358,0.75,0.23,0.72,0.13,0.12,1.15
Lucaozy,MIBR Sep 2024 - ,41,0.49,1.22,73.8,710,1.15,3391,34,102,596,4177,50.2,3609,1.16,82.7,4.9,263,5584,0.75,0.21,0.65,0.10,0.10,1.15
M1key,OG Oct 2024 - Nov 2024,38,0.45,1.21,70.4,497,0.94,2115,65,224,437,2889,47.1,2772,1.04,82.6,6.4,179,3956,0.73,0.21,0.70,0.10,0.09,1.10
MarKE,Nouns May 2024 - Nov 2024,146,0.62,1.05,73.2,189,0.85,1014,7,119,267,1419,55.0,1354,1.05,76.5,5.2,97,2012,0.71,0.20,0.67,0.12,0.12,1.08
MoDo,OG Oct 2024 - Nov 2024,38,0.45,0.99,72.5,457,1.80,766,1456,65,545,2850,34.5,2581,1.10,66.9,2.6,195,4269,0.67,0.12,0.60,0.11,0.12,1.04
NEKIZ,Legacy May 2024 - Nov 2024,151,0.65,0.95,69.7,478,0.80,1976,28,178,381,2597,49.9,3122,0.83,68.2,4.4,202,4370,0.59,0.21,0.71,0.12,0.08,0.94
NertZ,HEROIC May 2024 - ,93,0.58,1.21,72.5,614,1.28,2559,56,253,462,3358,53.5,2997,1.12,80.7,3.9,209,4551,0.74,0.18,0.66,0.09,0.11,1.13
Nexius,OG Oct 2024 - Nov 2024,38,0.45,1.07,69.4,306,0.78,1248,5,101,266,1635,56.5,1867,0.88,72.2,5.5,119,2562,0.64,0.20,0.73,0.13,0.10,0.98
NiKo,G2 Jul 2024 - ,77,0.66,1.22,73.3,522,1.10,2319,43,64,590,3053,56.1,2672,1.14,81.7,6.0,192,4150,0.74,0.21,0.64,0.10,0.11,1.15
Norwi,Aurora Aug 2024 - ,60,0.4,0.98,73.1,521,1.00,2704,68,304,699,3834,45.7,3849,1.00,70.8,4.7,275,5889,0.65,0.20,0.65,0.11,0.10,1.02
OWNER,B8 Apr 2024 - ,257,0.61,0.98,72.3,173,1.01,828,15,112,176,1136,51.1,1196,0.95,72.3,3.3,78,1699,0.67,0.18,0.70,0.12,0.12,0.99
PKL,Fluxo Sep 2024 - ,57,0.65,0.89,71.0,203,0.84,864,8,65,183,1136,57.9,1378,0.82,66.4,5.3,92,2018,0.56,0.20,0.68,0.11,0.09,0.91
Peeping,Party Astronauts Sep 2024 - Oct 2024,37,0.51,1.03,73.3,449,1.05,2282,82,282,555,3252,58.4,3249,1.00,73.8,5.2,223,4794,0.68,0.19,0.68,0.12,0.12,1.05
RUSH,Nouns May 2024 - Nov 2024,146,0.62,1.02,74.4,316,0.92,2033,1,259,437,2750,50.4,2626,1.05,74.7,5.1,191,4003,0.69,0.22,0.66,0.13,0.14,1.07
SELLTER,Aurora Aug 2024 - ,60,0.4,0.90,70.8,551,0.81,3220,153,321,704,4465,53.2,4812,0.93,69.4,4.2,329,7141,0.63,0.18,0.67,0.10,0.09,0.97
SLIGHT,Wildcard Jul 2024 - ,80,0.7,1.02,69.4,470,1.46,683,1331,174,457,2696,31.7,2630,1.03,67.9,4.2,191,4101,0.66,0.13,0.64,0.10,0.10,1.00
STYKO,Monte Aug 2024 - ,90,0.57,0.92,70.6,271,0.81,1682,29,113,418,2283,58.4,2446,0.93,71.0,4.9,166,3672,0.62,0.19,0.67,0.10,0.06,0.97
Senzu,The MongolZ Dec 2023 - ,204,0.65,1.23,72.2,541,1.15,2309,231,111,626,3311,60.1,2926,1.13,80.4,4.7,204,4472,0.74,0.21,0.65,0.09,0.10,1.15
Snax,G2 Jul 2024 - ,77,0.66,0.84,70.8,318,0.72,1622,50,231,376,2342,47.4,2729,0.86,66.9,5.3,189,4098,0.57,0.20,0.67,0.10,0.09,0.92
Sonic,Wildcard Jul 2024 - ,80,0.7,1.18,73.9,459,1.05,2334,90,172,549,3188,56.2,2893,1.10,81.5,5.5,204,4319,0.74,0.23,0.67,0.13,0.13,1.15
Swisher,M80 Jul 2024 - ,78,0.62,1.06,74.0,416,0.91,2194,14,214,485,2952,44.6,2869,1.03,75.5,6.5,213,4490,0.66,0.24,0.64,0.11,0.10,1.08
TeSeS,HEROIC May 2024 - ,93,0.58,1.10,71.8,457,0.95,2255,18,185,567,3047,57.1,2872,1.06,76.9,3.8,199,4350,0.70,0.18,0.66,0.10,0.10,1.08
Techno,The MongolZ Dec 2023 - ,204,0.65,1.03,72.0,418,0.89,2185,20,249,525,3009,60.4,3002,1.00,73.5,5.1,204,4472,0.67,0.19,0.67,0.10,0.08,1.04
Twistzz,Liquid Jul 2024 - ,68,0.59,1.14,76.0,355,0.96,2159,49,166,408,2811,59.9,2368,1.19,80.5,5.2,178,3808,0.74,0.21,0.62,0.12,0.12,1.16
VINI,Imperial Jul 2024 - ,99,0.58,0.91,73.1,505,0.95,2577,57,291,579,3572,48.7,3755,0.95,70.2,5.9,276,5908,0.60,0.20,0.64,0.10,0.09,1.00
Walco,NRG Nov 2024 - ,7,0.71,1.03,72.0,221,0.88,1088,4,118,260,1496,59.2,1493,1.00,73.1,6.2,107,2231,0.67,0.19,0.67,0.11,0.11,1.04
WolfY,Party Astronauts Sep 2024 - Oct 2024,37,0.51,1.05,72.2,413,1.44,733,1196,105,410,2466,36.5,2203,1.12,70.9,3.5,162,3534,0.70,0.14,0.62,0.09,0.11,1.06
Woro2k,Monte Aug 2024 - ,90,0.57,1.20,71.8,560,1.60,1329,1386,60,474,3269,38.8,2784,1.17,79.8,3.8,194,4294,0.76,0.15,0.65,0.08,0.10,1.13
Xant3r,Nemiga Jun 2024 - ,157,0.59,1.18,72.7,683,1.01,3023,40,238,682,4041,56.1,3871,1.04,80.6,8.3,259,5724,0.71,0.23,0.68,0.10,0.11,1.11
YEKINDAR,Liquid Jul 2024 - ,68,0.59,1.11,70.5,534,0.89,1646,16,400,359,2441,59.5,2576,0.95,72.8,5.1,178,3808,0.64,0.20,0.68,0.09,0.08,1.02
alex666,B8 Apr 2024 - ,257,0.61,1.10,73.1,611,0.90,3381,38,180,699,4343,47.9,4142,1.05,78.5,4.0,282,6184,0.70,0.21,0.67,0.11,0.11,1.09
arT,Fluxo Sep 2024 - ,57,0.65,1.10,71.7,661,0.93,2265,145,418,440,3338,48.1,3534,0.94,76.1,5.5,243,5164,0.65,0.23,0.68,0.10,0.08,1.04
autimatic,NRG Nov 2024 - ,7,0.71,1.07,73.8,395,0.95,1885,21,84,394,2418,50.2,2362,1.02,76.0,5.7,175,3573,0.68,0.22,0.66,0.11,0.10,1.08
b1t,Natus Vincere Dec 2023 - ,172,0.63,1.13,74.7,428,1.21,2043,22,202,434,2721,64.5,2388,1.14,78.8,3.3,172,3705,0.73,0.18,0.64,0.10,0.10,1.14
b4rtiN,Legacy May 2024 - Nov 2024,151,0.65,0.96,73.9,361,0.93,2096,22,137,500,2798,53.7,2802,1.00,69.0,4.1,202,4370,0.64,0.19,0.64,0.13,0.12,1.03
bLitz,The MongolZ Dec 2023 - ,204,0.65,1.16,73.5,473,1.03,2397,73,150,467,3160,47.6,2878,1.10,81.0,8.6,204,4472,0.71,0.24,0.64,0.09,0.10,1.14
ben1337,Party Astronauts Sep 2024 - Oct 2024,37,0.51,0.74,70.2,313,0.86,1771,44,186,405,2461,49.7,3139,0.78,62.0,6.0,210,4549,0.54,0.19,0.69,0.13,0.10,0.87
